date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:02:12	2146/2146	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Jun%202020%2000:32:12%20GMT	http://katielovesairbnb.com/robots.txt		(from )
06:02:20	15649/15649	---M-Z	200	added ('OK')	text/html	etag:%22bb001b5-3d21-4fabbb2891800-gzip%22	http://katielovesairbnb.com/	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/index.html	(from )
06:02:27	6008/6008	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Jun%202020%2000:32:27%20GMT	http://katielovesairbnb.com/css/bootstrap.css	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/css/bootstrap.1.delayed	(from http://katielovesairbnb.com/)
06:02:30	167398/167398	---M--	200	added ('OK')	image/jpeg	etag:%22bb00214-28de6-4f1026a825e80%22	http://katielovesairbnb.com/BNB_files/img/sitethumb.jpg	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/BNB_files/img/sitethumb.jpg	(from http://katielovesairbnb.com/)
06:02:35	10602/10602	---M--	200	added ('OK')	text/css	etag:%22bb001c1-296a-4f0fb87b3aec0%22	http://katielovesairbnb.com/BNB_files/css/style.css	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/BNB_files/css/style.css	(from http://katielovesairbnb.com/)
06:02:38	6008/6008	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Jun%202020%2000:32:39%20GMT	http://katielovesairbnb.com/fontawesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/fontawesome/css/font-awesome.min.4.delayed	(from http://katielovesairbnb.com/)
06:02:40	4190/4190	---M--	200	added ('OK')	text/css	etag:%22bb0028c-105e-4e0e541263c00%22	http://katielovesairbnb.com/lightbox/css/lightbox.css	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/lightbox/css/lightbox.css	(from http://katielovesairbnb.com/)
06:02:44	39992/39992	---M--	200	added ('OK')	application/javascript	etag:%22bb00250-9c38-4f0aae30980c0%22	http://katielovesairbnb.com/BNB_files/js/ga.js	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/BNB_files/js/ga.js	(from http://katielovesairbnb.com/)
06:02:49	15274/15274	---M--	200	added ('OK')	application/javascript	etag:%22bb00254-3baa-4f0aae30980c0%22	http://katielovesairbnb.com/BNB_files/js/modernizr-2.5.3.min.js	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/BNB_files/js/modernizr-2.5.3.min.js	(from http://katielovesairbnb.com/)
06:02:49	8405/8405	---M--	200	added ('OK')	image/png	etag:%22bb00227-20d5-4f0d60bf33b40%22	http://katielovesairbnb.com/BNB_files/img/tag3.png	C:/My%20Web%20Sites/Blume/katielovesairbnb.com/BNB_files/img/tag3.png	(from http://katielovesairbnb.com/)
